$id,$permissions,$createdAt,$updatedAt,userId,isActive,createdAt,updatedAt,balance,escrow,totalEarned,totalSpent,requiresFunding
68e78277003d63d2ab73,"[""read(\""user:68e77c6a001db71648a3\"")"",""update(\""user:68e77c6a001db71648a3\"")"",""delete(\""user:68e77c6a001db71648a3\"")""]",2025-10-09T09:38:00.088+00:00,2026-01-31T21:12:55.088+00:00,68e77c6a001db71648a3,true,2025-10-09T09:37:59.982+00:00,2026-01-31T21:12:55.010+00:00,72,10,0,1410,null
68e783f200329fb83d56,"[""read(\""user:687d0dc30039253fdad3\"")"",""update(\""user:687d0dc30039253fdad3\"")"",""delete(\""user:687d0dc30039253fdad3\"")""]",2025-10-09T09:44:18.919+00:00,2025-10-09T09:44:18.919+00:00,687d0dc30039253fdad3,true,2025-10-09T09:44:18.809+00:00,2025-10-09T09:44:18.809+00:00,0,0,0,0,null
68e7e43e0014a4931b9f,"[""read(\""user:68e784b0001333631a10\"")"",""update(\""user:68e784b0001333631a10\"")"",""delete(\""user:68e784b0001333631a10\"")""]",2025-10-09T16:35:10.415+00:00,2025-11-16T00:30:47.844+00:00,68e784b0001333631a10,true,2025-10-09T16:35:10.330+00:00,2025-11-16T00:30:47.712+00:00,96,0,96,0,null
68ebb6260032e932b968,"[""read(\""user:68ebb60a002139d49bc4\"")"",""update(\""user:68ebb60a002139d49bc4\"")"",""delete(\""user:68ebb60a002139d49bc4\"")""]",2025-10-12T14:07:34.886+00:00,2026-01-31T21:19:44.162+00:00,68ebb60a002139d49bc4,true,2025-10-12T14:07:34.814+00:00,2026-01-31T21:19:44.085+00:00,553,0,0,1281,null
68fb40b20024104f549c,"[""read(\""user:68fb407c0034b51fdc0d\"")"",""update(\""user:68fb407c0034b51fdc0d\"")"",""delete(\""user:68fb407c0034b51fdc0d\"")""]",2025-10-24T09:02:44.382+00:00,2025-11-11T18:18:05.084+00:00,68fb407c0034b51fdc0d,true,2025-10-24T09:02:42.577+00:00,2025-11-11T18:18:03.393+00:00,475,0,0,525,null
68fb87c60027beddb96f,"[""read(\""user:68fb87670013e1071b7c\"")"",""update(\""user:68fb87670013e1071b7c\"")"",""delete(\""user:68fb87670013e1071b7c\"")""]",2025-10-24T14:05:59.506+00:00,2025-10-29T20:47:40.384+00:00,68fb87670013e1071b7c,true,2025-10-24T14:05:58.635+00:00,2025-10-29T20:47:38.734+00:00,0,0,0,0,null
69023806000210685cf0,"[""read(\""user:68ebb60a002139d49bc4\"")"",""update(\""user:68ebb60a002139d49bc4\"")"",""delete(\""user:68ebb60a002139d49bc4\"")""]",2025-10-29T15:51:36.661+00:00,2025-10-29T23:02:12.891+00:00,68ebb81d002be0a44940,true,2025-10-29T15:51:34.033+00:00,2025-10-29T23:02:11.973+00:00,0,0,0,0,null
6902403c0015a4dab45f,"[""read(\""user:68f0e60e001fd066f365\"")"",""update(\""user:68f0e60e001fd066f365\"")"",""delete(\""user:68f0e60e001fd066f365\"")""]",2025-10-29T16:26:36.501+00:00,2025-10-30T14:10:15.442+00:00,68f0e60e001fd066f365,true,2025-10-29T16:26:36.346+00:00,2025-10-30T14:10:14.327+00:00,5,0,105,0,null
69029497002b82f70e36,"[""read(\""user:690290b8001c8a977317\"")"",""update(\""user:690290b8001c8a977317\"")"",""delete(\""user:690290b8001c8a977317\"")""]",2025-10-29T22:07:56.752+00:00,2025-11-15T15:49:23.156+00:00,690290b8001c8a977317,true,2025-10-29T22:26:31.696+00:00,2025-11-15T15:49:22.630+00:00,0,0,137,0,null
6903c0a5000479af1f6b,"[""read(\""user:686e2d80003a3dafa792\"")"",""update(\""user:686e2d80003a3dafa792\"")"",""delete(\""user:686e2d80003a3dafa792\"")""]",2025-10-30T19:46:45.159+00:00,2025-10-30T19:46:45.159+00:00,686e2d80003a3dafa792,null,null,2025-10-30T19:46:45.071+00:00,0,0,0,0,null
